../map_txt/environment_grid.txt	strat_point-target_point: [28, 30]-[1, 1]	open_list size: 57close_list size: 30	path_size: 29	
../map_txt/environment_grid.txt	strat_point-target_point: [30, 30]-[1, 1]	open_list size: 59close_list size: 30	path_size: 29	
../map_txt/environment_grid.txt	strat_point-target_point: [1, 31]-[1, 1]	open_list size: 25close_list size: 163	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [3, 31]-[1, 1]	open_list size: 26close_list size: 173	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [5, 31]-[1, 1]	open_list size: 26close_list size: 183	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [7, 31]-[1, 1]	open_list size: 26close_list size: 192	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [9, 31]-[1, 1]	open_list size: 27close_list size: 200	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [11, 31]-[1, 1]	open_list size: 31close_list size: 204	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [13, 31]-[1, 1]	open_list size: 33close_list size: 205	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [15, 31]-[1, 1]	open_list size: 35close_list size: 202	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [17, 31]-[1, 1]	open_list size: 37close_list size: 194	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [19, 31]-[1, 1]	open_list size: 42close_list size: 182	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [21, 31]-[1, 1]	open_list size: 44close_list size: 167	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [23, 31]-[1, 1]	open_list size: 48close_list size: 142	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [25, 31]-[1, 1]	open_list size: 52close_list size: 118	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [27, 31]-[1, 1]	open_list size: 54close_list size: 81	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [29, 31]-[1, 1]	open_list size: 57close_list size: 31	path_size: 30	
../map_txt/environment_grid.txt	strat_point-target_point: [31, 31]-[1, 1]	open_list size: 58close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [0, 31]-[1, 1]	open_list size: 31close_list size: 62	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [1, 31]-[1, 1]	open_list size: 60close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [2, 31]-[1, 1]	open_list size: 62close_list size: 34	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [3, 31]-[1, 1]	open_list size: 63close_list size: 103	path_size: 32	
../map_txt/empty_32x32.txt	strat_point-target_point: [4, 31]-[1, 1]	open_list size: 64close_list size: 166	path_size: 33	
../map_txt/empty_32x32.txt	strat_point-target_point: [5, 31]-[1, 1]	open_list size: 65close_list size: 208	path_size: 34	
../map_txt/empty_32x32.txt	strat_point-target_point: [6, 31]-[1, 1]	open_list size: 66close_list size: 249	path_size: 35	
../map_txt/empty_32x32.txt	strat_point-target_point: [7, 31]-[1, 1]	open_list size: 67close_list size: 293	path_size: 36	
../map_txt/empty_32x32.txt	strat_point-target_point: [8, 31]-[1, 1]	open_list size: 68close_list size: 330	path_size: 37	
../map_txt/empty_32x32.txt	strat_point-target_point: [9, 31]-[1, 1]	open_list size: 68close_list size: 362	path_size: 38	
../map_txt/empty_32x32.txt	strat_point-target_point: [10, 31]-[1, 1]	open_list size: 69close_list size: 396	path_size: 39	
../map_txt/empty_32x32.txt	strat_point-target_point: [11, 31]-[1, 1]	open_list size: 70close_list size: 432	path_size: 40	
../map_txt/empty_32x32.txt	strat_point-target_point: [12, 31]-[1, 1]	open_list size: 71close_list size: 467	path_size: 41	
../map_txt/empty_32x32.txt	strat_point-target_point: [13, 31]-[1, 1]	open_list size: 72close_list size: 504	path_size: 42	
../map_txt/empty_32x32.txt	strat_point-target_point: [14, 31]-[1, 1]	open_list size: 73close_list size: 535	path_size: 43	
../map_txt/empty_32x32.txt	strat_point-target_point: [15, 31]-[1, 1]	open_list size: 74close_list size: 576	path_size: 44	
../map_txt/empty_32x32.txt	strat_point-target_point: [16, 31]-[1, 1]	open_list size: 76close_list size: 620	path_size: 45	
../map_txt/empty_32x32.txt	strat_point-target_point: [17, 31]-[1, 1]	open_list size: 77close_list size: 649	path_size: 46	
../map_txt/empty_32x32.txt	strat_point-target_point: [18, 31]-[1, 1]	open_list size: 78close_list size: 688	path_size: 47	
../map_txt/empty_32x32.txt	strat_point-target_point: [19, 31]-[1, 1]	open_list size: 79close_list size: 726	path_size: 48	
../map_txt/empty_32x32.txt	strat_point-target_point: [20, 31]-[1, 1]	open_list size: 79close_list size: 737	path_size: 49	
../map_txt/empty_32x32.txt	strat_point-target_point: [21, 31]-[1, 1]	open_list size: 81close_list size: 781	path_size: 50	
../map_txt/empty_32x32.txt	strat_point-target_point: [22, 31]-[1, 1]	open_list size: 82close_list size: 804	path_size: 51	
../map_txt/empty_32x32.txt	strat_point-target_point: [23, 31]-[1, 1]	open_list size: 78close_list size: 840	path_size: 52	
../map_txt/empty_32x32.txt	strat_point-target_point: [24, 31]-[1, 1]	open_list size: 74close_list size: 870	path_size: 53	
../map_txt/empty_32x32.txt	strat_point-target_point: [25, 31]-[1, 1]	open_list size: 70close_list size: 905	path_size: 54	
../map_txt/empty_32x32.txt	strat_point-target_point: [26, 31]-[1, 1]	open_list size: 68close_list size: 913	path_size: 55	
../map_txt/empty_32x32.txt	strat_point-target_point: [27, 31]-[1, 1]	open_list size: 66close_list size: 932	path_size: 56	
../map_txt/empty_32x32.txt	strat_point-target_point: [28, 31]-[1, 1]	open_list size: 63close_list size: 941	path_size: 57	
../map_txt/empty_32x32.txt	strat_point-target_point: [29, 31]-[1, 1]	open_list size: 62close_list size: 897	path_size: 58	
../map_txt/empty_32x32.txt	strat_point-target_point: [30, 31]-[1, 1]	open_list size: 61close_list size: 901	path_size: 59	
../map_txt/empty_32x32.txt	strat_point-target_point: [31, 31]-[1, 1]	open_list size: 60close_list size: 905	path_size: 60	
../map_txt/empty_32x32.txt	strat_point-target_point: [0, 31]-[1, 1]	open_list size: 34close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [1, 31]-[1, 1]	open_list size: 62close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [2, 31]-[1, 1]	open_list size: 64close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [3, 31]-[1, 1]	open_list size: 72close_list size: 98	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [4, 31]-[1, 1]	open_list size: 69close_list size: 131	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [5, 31]-[1, 1]	open_list size: 77close_list size: 155	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [6, 31]-[1, 1]	open_list size: 79close_list size: 180	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [7, 31]-[1, 1]	open_list size: 81close_list size: 200	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [8, 31]-[1, 1]	open_list size: 82close_list size: 221	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [9, 31]-[1, 1]	open_list size: 79close_list size: 219	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [10, 31]-[1, 1]	open_list size: 84close_list size: 246	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [11, 31]-[1, 1]	open_list size: 88close_list size: 255	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [12, 31]-[1, 1]	open_list size: 84close_list size: 254	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [13, 31]-[1, 1]	open_list size: 86close_list size: 265	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [14, 31]-[1, 1]	open_list size: 85close_list size: 268	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [15, 31]-[1, 1]	open_list size: 96close_list size: 280	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [16, 31]-[1, 1]	open_list size: 89close_list size: 275	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [17, 31]-[1, 1]	open_list size: 93close_list size: 275	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [18, 31]-[1, 1]	open_list size: 95close_list size: 281	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [19, 31]-[1, 1]	open_list size: 97close_list size: 277	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [20, 31]-[1, 1]	open_list size: 97close_list size: 264	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [21, 31]-[1, 1]	open_list size: 99close_list size: 254	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [22, 31]-[1, 1]	open_list size: 101close_list size: 245	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [23, 31]-[1, 1]	open_list size: 101close_list size: 233	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [24, 31]-[1, 1]	open_list size: 105close_list size: 216	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [25, 31]-[1, 1]	open_list size: 109close_list size: 196	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [26, 31]-[1, 1]	open_list size: 107close_list size: 174	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [27, 31]-[1, 1]	open_list size: 112close_list size: 147	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [28, 31]-[1, 1]	open_list size: 112close_list size: 120	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [29, 31]-[1, 1]	open_list size: 115close_list size: 83	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [30, 31]-[1, 1]	open_list size: 120close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [31, 31]-[1, 1]	open_list size: 118close_list size: 31	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [0, 31]-[1, 1]	open_list size: 68close_list size: 35	path_size: 29	
../map_txt/empty_32x32.txt	strat_point-target_point: [1, 31]-[1, 1]	open_list size: 95close_list size: 31	path_size: 30	
