../map_txt/empty_32x32.txt	strat_point-target_point: [18, 31]-[0, 0]	open_list size: 95	 close_list size: 292	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [19, 31]-[0, 0]	open_list size: 99	 close_list size: 286	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [20, 31]-[0, 0]	open_list size: 101	 close_list size: 279	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [21, 31]-[0, 0]	open_list size: 98	 close_list size: 271	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [22, 31]-[0, 0]	open_list size: 101	 close_list size: 260	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [23, 31]-[0, 0]	open_list size: 104	 close_list size: 245	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [24, 31]-[0, 0]	open_list size: 107	 close_list size: 227	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [25, 31]-[0, 0]	open_list size: 110	 close_list size: 206	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [26, 31]-[0, 0]	open_list size: 110	 close_list size: 182	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [27, 31]-[0, 0]	open_list size: 113	 close_list size: 153	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [28, 31]-[0, 0]	open_list size: 114	 close_list size: 127	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [29, 31]-[0, 0]	open_list size: 119	 close_list size: 85	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [30, 31]-[0, 0]	open_list size: 121	 close_list size: 34	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [31, 31]-[0, 0]	open_list size: 122	 close_list size: 32	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [0, 31]-[0, 0]	open_list size: 64	 close_list size: 32	path_size: 31	
../map_txt/empty_32x32.txt	strat_point-target_point: [1, 31]-[0, 0]	open_list size: 83	 close_list size: 44	path_size: 30	
../map_txt/empty_32x32.txt	strat_point-target_point: [2, 31]-[0, 0]	open_list size: 88	 close_list size: 80	path_size: 29	
../map_txt/empty_32x32.txt	strat_point-target_point: [3, 31]-[0, 0]	open_list size: 98	 close_list size: 98	path_size: 28	
../map_txt/empty_32x32.txt	strat_point-target_point: [4, 31]-[0, 0]	open_list size: 104	 close_list size: 114	path_size: 27	
../map_txt/empty_32x32.txt	strat_point-target_point: [5, 31]-[0, 0]	open_list size: 111	 close_list size: 126	path_size: 26	
../map_txt/empty_32x32.txt	strat_point-target_point: [6, 31]-[0, 0]	open_list size: 105	 close_list size: 151	path_size: 25	
